#,phrase,polarite,subjectivite
1,Ecrire A l’Agence Rossel au n» 43142 H. ‘ Importante firme américaine dem.,0.24000000000000002,0.275
2,firme cherchant agent général Ecrira â l’Agence Rossel au n. 52166J,0.0,0.0
3,"Ecrire à l’AGENCE ROSSEL N« 415 M. FIRME désire remettre Registre de Commerce fabrique, cUentèle confections tons genres.",0.0,0.0
4,"â l’Agence Rossel au n® 1410 H. ON DEMANDE SECRETAIRE ayant pra- tiqua pour firme automobile, connaissant les langues.",0.0,0.0
5,": 27, rue Camu- sel, à 9 h. 30- Le présent avis tient lieu de faire-part.",0.12,0.15
6,"» Pas d'accord secret, déclare M. de Foy D’autre part, l’Assoclated Press à Bruxelles ayant Interrogé M. Robert de Foy, diic-cteur général du ministère de la Justice, qui étnlt administrateur de la Sûreté publique en 1939, apprend par ce dernier qu’il n’a Jamais étc question avant la guerre d’un accord secret entre la Sûreté belge et la Gestapo pour lutter contre le communisme.",-0.032857142857142856,0.14285714285714285
7,Ecrire Agence Rossel n®5S935H IMPORT.,0.0,0.0
8,"Le Sénat en arrive aux interpellations de MM. Orban (P. S. C.) et Mo- reau de Melen (P. S. C.) au Premier ministre, M le ministre des Affaires étrangères et du Commerce extérieur et M. le ministre de ta Justice « au sujet de «authenticité de documents déterminée, publiés récemment par la presse et échangés entre des membres du gouvernement belge A Londres et certains compatriotes se trouvant A ce moment A «étranger, et au sujet de la corrélation entre ces documents et la répression économique actuellement appliquée, ainsi que la concordance de leur contenu avec les déclarations faites par le gouvernement au cours de la séance de la Chambre des Représentants le 11 Juin 1946.",0.12999999999999998,0.15714285714285717
9,Ecrire à l'Agence Rossel au n. 55348H FIRME prod.,0.0,0.0
10,Ecrire Agence Rossel n« 52S13A Bons ouvr!,0.875,0.7
